Order,,,common name ,species,,,placenta_invasiveness,,interdigitation_placenta,,,,,,
Artiodactyla,Cervidae,Cervus,swamp deer,Cervus duvaucelii,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Cervidae,Cervus,red deer,Cervus elaphus,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/deer.html,
Artiodactyla,Cervidae,Cervus,Eld's deer,Cervus eldii,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/deer.html,
Artiodactyla,Cervidae,Cervus,sika deer,Cervus nippon,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,,,Javan rusa,Cervus timorensis,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D31,
Artiodactyla,,,sambar,Cervus unicolor,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D30,
Artiodactyla,,,black wildebeest,Connochaetes gnou,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D19,
Artiodactyla,Bovidae,Connochaetes,blue wildebeest ,Connochaetes taurinus,polygynous,2,epi,2,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/gnu.html,
Artiodactyla,,,goat,Copra hircus,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D21,
Artiodactyla,Cervidae,Dama, fallow deer ,Dama dama,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/deer.html,
Artiodactyla,,,common tsessebe,Damaliscus lunatus,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D18,
Artiodactyla,Cervidae,Elaphodus, tufted deer,Elaphodus cephalophus,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Cervidae,Elaphurus,Père David's deer,Elaphurus davidianus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/deer.html,
Artiodactyla,Bovidae,Eudorcas,Thomson's gazelle ,Eudorcas thomsonii,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,,,Cuvier's gazelle,Gazella cuvieri,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D17,
Artiodactyla,,,dama gazelle ,Gazella dama,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D16,
Artiodactyla,Bovidae,Gazella,dorcas gazelle,Gazella dorcas,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,,,Grant's gazelle,Gazella granti,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D15,
Artiodactyla,Bovidae,Gazella,rhim gazelle,Gazella leptoceros,monogamous,1,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Gazella,Arabian sand gazelle,Gazella marica,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/sgazel.html,
Artiodactyla,,,Gazella soemmerringii,Gazella soemmerringii,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D14,
Artiodactyla,Bovidae,Gazella,Speke's gazelle,Gazella spekei,no data,,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Gazella,goitered,Gazella subgutturosa,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/persiangaz.html,
Artiodactyla,,,Thomson's gazelle,Gazella thomsonii,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D13,
Artiodactyla,Giraffidae,Giraffa,northern giraffe ,Giraffa camelopardalis,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Giraffidae,Giraffa,Masai giraffe,Giraffa tippelskirchi,no data,,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Hemitragus,Nilgiri tahr ,Hemitragus hylocrius,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/tahr.html,
Artiodactyla,Bovidae,Hemitragus,Himalayan tahr,Hemitragus jemlahicus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/himal.html,
Artiodactyla,Hippopotamidae,Hexaprotodon,pygmy hippopotamus,Hexaprotodon liberiensis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Hippotragus,roan antelope,Hippotragus equinus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Hippotragus,sable antelope,Hippotragus niger,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Cervidae,Hydropotes,water deer,Hydropotes inermis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,,,Amazon river dolphin,Inia geoffrensis,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D70,
Artiodactyla,Bovidae,Kobus,waterbuck ,Kobus defassa,no data,,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Kobus,Ellipsen waterbuck ,Kobus ellipsiprymnus,no data,,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/buck.html,
Artiodactyla,Bovidae,Kobus, lechwe,Kobus leche,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Kobus,Nile lechwe ,Kobus megaceros,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/buck.html,
Artiodactyla,Camelidae,Lama,llama ,Lama glama,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Camelidae,Lama,guanaco ,Lama guanicoe,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/camfs.htm,
Artiodactyla,Camelidae,Lama, alpaca,Lama pacos,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,https://www.ncbi.nlm.nih.gov/pubmed/12802689,
Artiodactyla,Camelidae,Lama, ring-tailed lemur,Lemur catta,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/ringlemur.html,
Artiodactyla,,,northern right whale dolphin,Lissodelphis borealis,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D50,
Artiodactyla,Bovidae,Litocranius,gerenuk,Litocranius walleri,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/gerenukfs.htm,
Artiodactyla,Bovidae,Madoqua,Günther's dik-dik,Madoqua guentheri,monogamous,1,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Madoqua,Kirk's dik-dik,Madoqua kirkii,monogamous,1,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Cervidae,Mazama,red brocket,Mazama americana,monogamous,1,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,,,humpback whale ,Megaptera novaeangliae,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D6,
Artiodactyla,Cervidae,Muntiacus, Indian muntjac,Muntiacus muntjak,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Cervidae,Muntiacus,Reeves's muntjac ,Muntiacus reevesi,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,,,Japanese serow,Naemorhedus crispus,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D12,
Artiodactyla,Bovidae,Saiga,Himalayan goral,Naemorhedus goral,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Naemorhedus,Chinese goral,Naemorhedus griseus,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Gazella,dama gazelle,Nanger dama,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Gazella,Grant's gazelle,Nanger granti,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Neotragus,Suni ,Neotragus moschatus,polygynous,2,hemo,1,Villous,3,solitary,1,HemoVil,,
Artiodactyla,Bovidae,Neotragus,royal antelope ,Neotragus pygmaeus,monogamous,1,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Cervidae,Odocoileus,mule deer,Odocoileus hemionus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Cervidae,Odocoileus,white-tailed deer,Odocoileus virginianus,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Giraffidae,Okapia,okapi ,Okapia johnstoni,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/okapi.htm,
Artiodactyla,Bovidae,Oreamnos,mountain goat,Oreamnos americanus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Oreotragus,klipspringer ,Oreotragus oreotragus,monogamous,1,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/klipspringer.htm,
Artiodactyla,Bovidae,Oryx,scimitar oryx,Oryx dammah,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/scimitarfs.htm,
Artiodactyla,,,South African oryx,Oryx gazella,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D11,
Artiodactyla,Bovidae,Oryx,Arabian oryx,Oryx leucoryx,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Ovibos,muskox,Ovibos moschatus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidea,Caprinae,Sheep ,Ovis aries,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Ovis,bighorn sheep ,Ovis canadensis,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Ovis,Dall's sheep,Ovis dalli,no data,,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,,,urial ,Ovis vignei,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D10,
Artiodactyla,Tayassuidae,Pecari,collared peccary,Pecari tajacu,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Suidae,Phacochoerus,desert warthog ,Phacochoerus aethiopicus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,,,common warthog,Phacochoerus africanus,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D114,
Artiodactyla,Bovidae,Philantomba,blue duiker,Philantomba monticola,monogamous,1,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,,, South Asian river dolphin ,Platanista gangetica,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D93,
Artiodactyla,,,South Asian river dolphin,Platanista minor,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D92,
Artiodactyla,Suidae,Potamochoerus, red river hog,Potamochoerus porcus,monogamous,1,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,,,blue sheep,Pseudois nayaur,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D9,
Artiodactyla,Cervidae,Pudu,pudus,Pudu puda,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Cervidae,Rangifer,reindeer ,Rangifer tarandus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Raphicerus,steenbok ,Raphicerus campestris,no data,,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/steen.htm,
Artiodactyla,Cervidae,Panolia,Eld's deer,Rucervus eldii,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,,,saiga antelope,Saiga tatarica,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D8,
Artiodactyla,Suidae,Sus,Visayan warty pig,Sus cebifrons,no data,,epi,3,Villous,3,no data,,EpiVil,,
Artiodactyla,Suidae,Sus,wild boar,Sus scrofa,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Syncerus,African buffalo ,Syncerus caffer,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/congo.html,
Artiodactyla,Bovidae,Taurotragus,giant eland,Taurotragus derbianus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/eland.htm,
Artiodactyla,Bovidae,Taurotragus,common eland,Taurotragus oryx,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/eland.htm,
Artiodactyla,Tayassuidae,Pecari,collared peccary ,Tayassu tajacu,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Tragelaphus,lowland nyala,Tragelaphus angasii,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/nyala.htm,
Artiodactyla,Bovidae,Tragelaphus,antelope,Tragelaphus eurycerus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/bongofs.htm,
Artiodactyla,Bovidae,Tragelaphus,lesser kudu ,Tragelaphus imberbis,no data,,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Tragelaphus,common eland,Tragelaphus oryx,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Tragelaphus,harnessed bushbuck,Tragelaphus scriptus,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html,
Artiodactyla,Bovidae,Tragelaphus,sitatunga ,Tragelaphus spekii,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/sita.html,
Artiodactyla,Bovidae,Tragelaphus,greater kudu,Tragelaphus strepsiceros,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Tragulidae,Tragulus,Java mouse-deer ,Tragulus javanicus,monogamous,1,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/chevro.htm,
Artiodactyla,Tragulidae,Tragulus, greater mouse-deer,Tragulus napu,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/chevro.htm,
Artiodactyla,Camelidae,Vicugna,huacayan alpaca,Vicugna pacos,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,https://en.wikipedia.org/wiki/Alpaca,
Artiodactyla,,,vicuña,Vicugna vicugna,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D26,
Carnivora,Felidae,Acinonyx, cheetah ,Acinonyx jubatus,polygynous,2,endo,2,Labyrinthine,1,solitary,1,EndoLab,,
Carnivora,Ursidae,Ailuropoda,giant panda,Ailuropoda melanoleuca,polygynous,2,endo,2,Labyrinthine,1,solitary,1,EndoLab,,
Carnivora,Ailuridae,Ailurus,red panda ,Ailurus fulgens,polygynous,2,endo,2,Labyrinthine,1,solitary,1,EndoLab,http://placentation.ucsd.edu/panda.html,
Carnivora,Mustelidae,Aonyx,African clawless otter,Aonyx capensis,polygynous,2,endo,2,Labyrinthine,1,solitary,1,EndoLab,,
